factor,warning_date,primary_classification,appendix_classification,reference_collapse_start,appendix_lead_time_days,inside_active_collapse,within_primary_horizon,within_extended_horizon
CMA,1977-10-26,false_positive,too_early_to_attribute,1980-09-17,731.0,False,False,False
CMA,1978-03-31,false_positive,too_early_to_attribute,1980-09-17,624.0,False,False,False
CMA,1978-08-03,false_positive,too_early_to_attribute,1980-09-17,537.0,False,False,False
CMA,1978-10-26,false_positive,too_early_to_attribute,1980-09-17,478.0,False,False,False
CMA,1979-01-30,false_positive,too_early_to_attribute,1980-09-17,413.0,False,False,False
CMA,1980-01-31,false_positive,extended_early_warning,1980-09-17,159.0,False,False,True
CMA,1980-10-15,false_positive,post_collapse_warning,1980-09-17,0.0,True,False,False
CMA,1981-04-08,false_positive,too_early_to_attribute,1991-02-15,2493.0,False,False,False
CMA,1981-05-01,false_positive,too_early_to_attribute,1991-02-15,2477.0,False,False,False
CMA,1981-08-24,false_positive,too_early_to_attribute,1991-02-15,2398.0,False,False,False
CMA,1981-09-15,false_positive,too_early_to_attribute,1991-02-15,2383.0,False,False,False
CMA,1982-01-28,false_positive,too_early_to_attribute,1991-02-15,2289.0,False,False,False
CMA,1982-08-25,false_positive,too_early_to_attribute,1991-02-15,2144.0,False,False,False
CMA,1984-07-27,false_positive,too_early_to_attribute,1991-02-15,1657.0,False,False,False
CMA,1984-10-29,false_positive,too_early_to_attribute,1991-02-15,1592.0,False,False,False
CMA,1985-12-27,false_positive,too_early_to_attribute,1991-02-15,1299.0,False,False,False
CMA,1986-07-11,false_positive,too_early_to_attribute,1991-02-15,1164.0,False,False,False
CMA,1987-10-20,false_positive,too_early_to_attribute,1991-02-15,841.0,False,False,False
CMA,1989-06-29,false_positive,too_early_to_attribute,1991-02-15,413.0,False,False,False
CMA,1989-07-14,false_positive,too_early_to_attribute,1991-02-15,403.0,False,False,False
CMA,1990-07-24,false_positive,extended_early_warning,1991-02-15,144.0,False,False,True
CMA,1991-11-15,false_positive,post_collapse_warning,1991-07-22,0.0,True,False,False
CMA,1993-02-22,false_positive,too_early_to_attribute,1999-01-15,1491.0,False,False,False
CMA,1994-03-18,false_positive,too_early_to_attribute,1999-01-15,1219.0,False,False,False
CMA,1994-04-05,false_positive,too_early_to_attribute,1999-01-15,1208.0,False,False,False
